max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
7,0.05,1200,1.0,0.8,3,2.0,0.1,0.7740378925079301,0.1226469265691959,55,0.6058198754644858,0.8910332797526758,0.8970054920927263,0.8262886741150551,0.6500421411147074,46,92,115,55,18
7,0.05,600,1.0,0.8,3,2.0,0.0,0.7738353350411219,0.12134579520683121,55,0.5949993496700046,0.8889507496758344,0.8918991100913223,0.8272071833164629,0.6661202824519852,46,89,115,55,19
7,0.05,900,1.0,0.8,3,2.0,0.0,0.7738353350411219,0.12134579520683121,55,0.5949993496700046,0.8889507496758344,0.8918991100913223,0.8272071833164629,0.6661202824519852,46,89,115,55,19
7,0.05,1200,1.0,0.8,3,2.0,0.0,0.7738353350411219,0.12134579520683121,55,0.5949993496700046,0.8889507496758344,0.8918991100913223,0.8272071833164629,0.6661202824519852,46,89,115,55,19
5,0.05,600,1.0,1.0,3,1.0,0.0,0.7736781602779492,0.12097377744768813,42,0.5729023962473401,0.878813304469955,0.895385975835563,0.8183352309417524,0.7029538938951359,42,74,189,41,16
5,0.05,900,1.0,1.0,3,1.0,0.0,0.7736781602779492,0.12097377744768813,42,0.5729023962473401,0.878813304469955,0.895385975835563,0.8183352309417524,0.7029538938951359,42,74,189,41,16
5,0.05,1200,1.0,1.0,3,1.0,0.0,0.7736781602779492,0.12097377744768813,42,0.5729023962473401,0.878813304469955,0.895385975835563,0.8183352309417524,0.7029538938951359,42,74,189,41,16
3,0.05,600,1.0,0.8,3,2.0,0.0,0.7736544983467616,0.13496953485759122,55,0.5858087394926758,0.8906552868756935,0.9255344289438777,0.8219002351173048,0.6443738013042561,46,88,89,55,18
3,0.05,900,1.0,0.8,3,2.0,0.0,0.7736544983467616,0.13496953485759122,55,0.5858087394926758,0.8906552868756935,0.9255344289438777,0.8219002351173048,0.6443738013042561,46,88,89,55,18
3,0.05,1200,1.0,0.8,3,2.0,0.0,0.7736544983467616,0.13496953485759122,55,0.5858087394926758,0.8906552868756935,0.9255344289438777,0.8219002351173048,0.6443738013042561,46,88,89,55,18
7,0.1,600,1.0,0.8,1,1.0,0.1,0.7722252914409259,0.16535785357475763,32,0.4867149697321155,0.9145290044605416,0.9559900129838904,0.7653188751782802,0.7385735948498015,32,47,73,30,9
7,0.1,900,1.0,0.8,1,1.0,0.1,0.7722252914409259,0.16535785357475763,32,0.4867149697321155,0.9145290044605416,0.9559900129838904,0.7653188751782802,0.7385735948498015,32,47,73,30,9
7,0.1,1200,1.0,0.8,1,1.0,0.1,0.7722252914409259,0.16535785357475763,32,0.4867149697321155,0.9145290044605416,0.9559900129838904,0.7653188751782802,0.7385735948498015,32,47,73,30,9
5,0.02,600,1.0,0.8,1,1.0,0.1,0.7705414983750231,0.1520781253172542,160,0.5561603298128452,0.9319720725388094,0.9511879773789153,0.7443326012383191,0.669054510906226,160,267,388,135,38
5,0.02,900,1.0,0.8,1,1.0,0.1,0.7705414983750231,0.1520781253172542,160,0.5561603298128452,0.9319720725388094,0.9511879773789153,0.7443326012383191,0.669054510906226,160,267,388,135,38
5,0.02,1200,1.0,0.8,1,1.0,0.1,0.7705414983750231,0.1520781253172542,160,0.5561603298128452,0.9319720725388094,0.9511879773789153,0.7443326012383191,0.669054510906226,160,267,388,135,38
7,0.02,600,1.0,0.8,3,1.0,0.1,0.7705114479061174,0.14939015949586104,120,0.5004117167874005,0.8996172768067496,0.9009212981646775,0.8253119521601637,0.7262949956115957,120,215,275,115,46
7,0.02,900,1.0,0.8,3,1.0,0.1,0.7705114479061174,0.14939015949586104,120,0.5004117167874005,0.8996172768067496,0.9009212981646775,0.8253119521601637,0.7262949956115957,120,215,275,115,46
7,0.02,1200,1.0,0.8,3,1.0,0.1,0.7705114479061174,0.14939015949586104,120,0.5004117167874005,0.8996172768067496,0.9009212981646775,0.8253119521601637,0.7262949956115957,120,215,275,115,46
5,0.02,600,1.0,0.8,1,2.0,0.1,0.7703928895373966,0.1578249447887583,189,0.490990488287789,0.8768401253417779,0.9556184165121502,0.7447247440165479,0.7837906735287188,189,202,426,151,67
